031XX W GRAND AVE,221
046XX S HALSTED ST,221
053XX W NORTH AVE,221
063XX S DAMEN AVE,221
063XX S ROCKWELL ST,221
095XX S JEFFERY AVE,221
099XX S HALSTED ST,221
105XX S OGLESBY AVE,221
0000X N LARAMIE AVE,220
015XX S RIDGEWAY AVE,220
019XX W 33RD ST,220
038XX W DIVISION ST,220
040XX W CARROLL AVE,220
043XX W GLADYS AVE,220
043XX W MAYPOLE AVE,220
061XX S EVANS AVE,220
067XX S WESTERN AVE,220
072XX S HALSTED ST,220
080XX S MARYLAND AVE,220
029XX S DEARBORN ST,219
039XX W ARTHINGTON ST,219
039XX W MONROE ST,219
042XX W DIVISION ST,219
044XX W JACKSON BLVD,219
070XX S EAST END AVE,219
076XX S EXCHANGE AVE,219
0000X N DEARBORN ST,218
005XX N LAVERGNE AVE,218
011XX N DEARBORN ST,218
016XX S AVERS AVE,218
027XX W ROOSEVELT RD,218
030XX W JACKSON BLVD,218
054XX N EAST RIVER RD,218
067XX S MERRILL AVE,218
070XX S DAMEN AVE,218
074XX S PHILLIPS AVE,218
080XX S DREXEL AVE,218
006XX W DIVERSEY PKWY,217
008XX N CAMBRIDGE AVE,217
009XX W 87TH ST,217
014XX W MORSE AVE,217
023XX E 93RD ST,217
041XX W POTOMAC AVE,217
059XX W DIVISION ST,217
064XX S COTTAGE GROVE AVE,217
069XX S WESTERN AVE,217
073XX S HALSTED ST,217
0000X N WABASH AVE,216
005XX N LARAMIE AVE,216
007XX N HAMLIN AVE,216
008XX E 82ND ST,216
014XX N CICERO AVE,216
036XX N BROADWAY,216
115XX S HALSTED ST,216
001XX W 95TH ST,215
002XX W RANDOLPH ST,215
008XX W 115TH ST,215
011XX N HARDING AVE,215
025XX N CLARK ST,215
027XX W MADISON ST,215
047XX W MADISON ST,215
131XX S CORLISS AVE,215
011XX S HAMILTON AVE,214
013XX S HOMAN AVE,214
029XX N SHEFFIELD AVE,214
040XX W MAYPOLE AVE,214
047XX W HURON ST,214
064XX S KEDZIE AVE,214
065XX S WOOD ST,214
078XX S CORNELL AVE,214
081XX S STONY ISLAND AVE,214
006XX S WABASH AVE,213
016XX W 63RD ST,213
042XX S COTTAGE GROVE AVE,213
055XX S SHIELDS AVE,213
058XX S MARYLAND AVE,213
095XX S HALSTED ST,213
0000X W WACKER DR,212
001XX S PULASKI RD,212
016XX S CENTRAL PARK AVE,212
025XX S MICHIGAN AVE,212
029XX W ADDISON ST,212
033XX N CLARK ST,212
036XX W CHICAGO AVE,212
050XX S MICHIGAN AVE,212
053XX W DIVISION ST,212
055XX W GLADYS AVE,212
057XX S LAFLIN ST,212
079XX S HERMITAGE AVE,212
092XX S COMMERCIAL AVE,212
0000X N WESTERN AVE,211
001XX N CLARK ST,211
021XX N LONG AVE,211
024XX E 75TH ST,211
026XX N HALSTED ST,211
047XX S INDIANA AVE,211
047XX S MICHIGAN AVE,211
